participant_id,speech_duration,silence_duration,speech_to_silence_ratio,silence_ratio,rms_mean,rms_std,energy_min,energy_max,energy_range,energy_median,energy_var,zcr_mean,zcr_std,zcr_var,mfcc_1_mean,mfcc_1_std,mfcc_1_var,mfcc_delta_1_mean,mfcc_delta_1_std,mfcc_delta_1_var,mfcc_2_mean,mfcc_2_std,mfcc_2_var,mfcc_delta_2_mean,mfcc_delta_2_std,mfcc_delta_2_var,mfcc_3_mean,mfcc_3_std,mfcc_3_var,mfcc_delta_3_mean,mfcc_delta_3_std,mfcc_delta_3_var,mfcc_4_mean,mfcc_4_std,mfcc_4_var,mfcc_delta_4_mean,mfcc_delta_4_std,mfcc_delta_4_var,mfcc_5_mean,mfcc_5_std,mfcc_5_var,mfcc_delta_5_mean,mfcc_delta_5_std,mfcc_delta_5_var,mfcc_6_mean,mfcc_6_std,mfcc_6_var,mfcc_delta_6_mean,mfcc_delta_6_std,mfcc_delta_6_var,mfcc_7_mean,mfcc_7_std,mfcc_7_var,mfcc_delta_7_mean,mfcc_delta_7_std,mfcc_delta_7_var,mfcc_8_mean,mfcc_8_std,mfcc_8_var,mfcc_delta_8_mean,mfcc_delta_8_std,mfcc_delta_8_var,mfcc_9_mean,mfcc_9_std,mfcc_9_var,mfcc_delta_9_mean,mfcc_delta_9_std,mfcc_delta_9_var,mfcc_10_mean,mfcc_10_std,mfcc_10_var,mfcc_delta_10_mean,mfcc_delta_10_std,mfcc_delta_10_var,mfcc_11_mean,mfcc_11_std,mfcc_11_var,mfcc_delta_11_mean,mfcc_delta_11_std,mfcc_delta_11_var,mfcc_12_mean,mfcc_12_std,mfcc_12_var,mfcc_delta_12_mean,mfcc_delta_12_std,mfcc_delta_12_var,mfcc_13_mean,mfcc_13_std,mfcc_13_var,mfcc_delta_13_mean,mfcc_delta_13_std,mfcc_delta_13_var,spectral_centroid_mean,spectral_centroid_std,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_bandwidth_var,spectral_rolloff_mean,spectral_rolloff_std,spectral_rolloff_var,spectral_contrast_mean,spectral_contrast_std,spectral_contrast_var,spectral_flatness_mean,spectral_flatness_std,spectral_flatness_var,pitch_mean,pitch_std,pitch_min,pitch_max,pitch_range,pitch_median,pitch_skew,voiced_ratio,speaking_rate,speech_segments,avg_segment_duration,pause_mean,pause_std,pause_max,pause_total,harmonic_energy,percussive_energy,onset_count,hnr_mean,hnr_std,jitter,shimmer,articulation_speed,word_count,label
302,208.096,0.8369375000000048,248.63953564090886,0.004005770990512229,0.024168147,0.016758228,0.0051195263,0.19138868,0.18626915,0.020183973,0.00028083823,0.35723089945444103,0.10220308623001985,0.010445470834940872,-213.74954,49.56449,2456.6387,-0.020647502,8.964199,80.35687,7.9146295,29.916525,894.9984,-0.008785654,5.6828218,32.294464,-26.559776,19.071053,363.70508,-0.00117412,3.8543265,14.855832,7.150115,18.546175,343.96063,0.0013023517,3.518683,12.38113,-23.497358,12.2678385,150.49986,0.0032980756,2.3276682,5.418039,-9.618636,11.45491,131.21497,0.0032756017,2.2594066,5.1049185,-20.515142,8.937249,79.87443,-0.0004317221,1.6645001,2.7705607,-4.5050955,10.466656,109.55089,0.0026132376,1.9662217,3.8660276,-23.502548,8.086729,65.39518,0.0038358504,1.5034132,2.2602513,-1.4297863,7.8782063,62.06613,0.0037645036,1.5382419,2.366188,-18.093197,8.217813,67.53245,-0.00034998154,1.4761571,2.1790397,0.6490062,6.7291737,45.28178,-0.0022939618,1.2955546,1.6784618,-16.58396,6.4470034,41.56385,-0.0009163909,1.2162946,1.4793727,3150.388673889026,625.1509056734011,390813.6548642736,1943.490051354126,188.84521429343667,35662.51496153402,5482.250191424196,735.1373163032251,540426.8738215081,22.13985350383333,10.340062246550602,106.9168872625411,0.14645301,0.08905162,0.00793019,145.53732382718914,12.140830045339671,98.56656061031477,194.86885420251932,96.30229359220455,145.14587018501834,0.5781625558734658,0.24946401221294578,0.0382897981319963,8,26.011996748500408,0.11885714285714347,0.18792964380429236,0.5760000000000005,0.8320000000000043,-6.746447e-06,-8.505038e-06,1065,559.2294,30891.729,0.010201208371840844,0.11707992220421473,2.9169229586344763,607,0
303,515.1360000000001,127.79406249999988,4.030985367328903,0.19876821749955095,0.017664555,0.015099647,0.0013786671,0.13506375,0.13368508,0.014453102,0.00022799936,0.3062713033716778,0.14182664766891973,0.020114797989003893,-303.51123,66.29159,4394.5747,-0.008829238,11.157546,124.49083,13.799604,35.502247,1260.4095,-0.0043571666,6.6790257,44.609383,-34.82951,31.989851,1023.3506,0.0016847814,6.3136373,39.862015,-4.3326178,25.123817,631.20624,0.003963423,4.763334,22.68935,-27.81223,19.089762,364.41904,0.0025834786,3.665594,13.43658,-17.803438,15.456017,238.88844,-0.0004960553,2.8134022,7.915232,-23.933083,12.50903,156.47583,0.00023178823,2.394669,5.7344403,-8.156943,12.811162,164.12587,0.001495696,2.2136998,4.9004674,-14.800965,9.667138,93.45356,0.00018277369,1.8523198,3.431089,-9.467272,8.241072,67.91527,3.1608048e-05,1.464184,2.143835,-18.55605,7.627039,58.171722,-0.0003969206,1.3298272,1.7684404,-2.8570004,7.4894056,56.091194,-0.00020255194,1.3222499,1.7483449,-12.366637,6.844452,46.84652,0.00052590726,1.2166564,1.480253,2899.566840125576,953.6499889494087,909448.3014232074,1857.963770424649,274.9553756312743,75600.45858853516,4975.281673053952,1245.9414204014606,1552370.0230720092,22.571972814025074,9.213865357446783,84.89531482515794,0.10192728,0.10232693,0.0104708,270.00677742162213,77.62842100861859,82.40688922821748,1514.5705295500206,1432.163640321803,258.62053938239393,9.850918391816943,0.4951224367661197,0.7294728110493356,469,1.098370999790254,0.27247863247863235,0.2524146161225965,1.408,127.51999999999994,-1.216155e-05,-3.100833e-06,3287,772.78516,59817.523,0.011120286781839394,0.09022416687423487,3.8028792396571,1959,0
304,222.97599999999932,139.6239375000007,1.5969754355554024,0.3850633247833935,0.021738406,0.023698837,0.0017867921,0.3100254,0.3082386,0.01372915,0.0005616349,0.2848388154810492,0.12020156651309823,0.014448416592202779,-284.3515,61.693043,3806.0317,0.003229764,10.423458,108.648476,17.956587,26.902754,723.7581,-0.0013316168,4.8419523,23.444502,-37.119118,31.42229,987.3604,-0.0005692214,5.7749567,33.350124,2.0206945,21.146675,447.1819,0.00021911786,3.9269688,15.421083,-24.416845,16.959875,287.63736,8.013995e-06,3.1003127,9.611938,-20.636965,14.975937,224.27869,0.0011553082,2.600569,6.7629595,-21.0518,10.855235,117.83613,-0.0002656381,1.9009413,3.6135776,-2.0651689,12.413704,154.10004,-0.000359315,2.262181,5.117463,-13.906893,8.646672,74.764946,-0.0005761162,1.5912865,2.5321927,-4.2453914,7.737141,59.86335,-0.00027520797,1.4109681,1.990831,-17.240915,7.2644057,52.77159,-5.826368e-05,1.3144035,1.7276567,-2.4917982,7.433383,55.255184,0.0003239288,1.3299484,1.7687627,-12.184905,6.043278,36.521214,-0.00020917329,1.1284732,1.2734517,2748.8969489368956,706.5448790298665,499205.6660833287,1839.6067202746542,292.78528264137054,85723.22173138724,4847.090236719026,1189.3917283447445,1414652.6834548984,22.246249660144247,8.8303138967212,77.97444351462755,0.10671028,0.10827597,0.011723686,295.27690528033025,66.49009457696899,126.35681904967383,864.8821267198209,738.5253076701471,275.58617649730814,2.9193728505998413,0.4939110483150449,1.3430780031505107,487,0.4578562618935176,0.286028747433264,0.3072623891154938,2.4320000000000164,139.29599999999957,-1.0324867e-05,-4.933926e-06,1721,1457.0273,125407.12,0.010196506985524423,0.08319155961026302,4.345759184845019,969,0
305,743.6799999999998,374.80993750000016,1.9841522958975633,0.33510353999049736,0.023620525,0.024577104,0.0020519162,0.31236508,0.31031317,0.016497558,0.000604034,0.14825761278985353,0.04994842304344187,0.0024948449645266347,-285.65457,66.294525,4394.9644,0.00070403644,10.87171,118.19408,88.26366,28.500988,812.30634,3.8349204e-05,5.3361106,28.474075,-39.549877,29.753063,885.2448,-0.00020465867,5.3471284,28.591782,-2.406996,23.8024,566.55426,-0.00032013757,4.203349,17.668144,-22.215202,18.017374,324.62576,0.00029175935,3.2621274,10.641476,-14.554707,11.421511,130.45091,-0.00020937507,2.0739336,4.301201,-21.6941,14.4331,208.31436,-0.000219367,2.4506881,6.005872,-16.687868,11.886716,141.294,7.808228e-05,2.0630512,4.2561803,-9.977269,9.68665,93.831184,6.762275e-05,1.7850795,3.1865087,-12.815594,9.990014,99.80038,0.00017282924,1.8011607,3.24418,-7.6148586,10.230077,104.65448,4.794948e-05,1.8122799,3.2843585,-2.9161165,8.237455,67.85567,6.3946565e-05,1.4398693,2.0732236,-16.100496,8.217268,67.5235,0.00017882219,1.4996028,2.2488086,1779.9020985755733,463.9046460237071,215207.52060238097,1555.4657163809761,368.4931955298854,135787.23515182635,3352.086417832518,1146.3060619146413,1314017.5875822534,22.198247604596993,8.706514651850155,75.80339738288143,0.036139205,0.042765193,0.0018288617,172.25254445683677,108.64504918598082,65.40639132514966,1095.9956676757638,1030.5892763506142,155.56349186104043,5.5487277957372925,0.21431636768762863,1.098802911671255,1229,0.6051098449104068,0.3043775427176568,0.30893963485160864,2.688000000000102,374.08000000000027,-9.0912945e-06,-6.1661626e-06,3182,1806.0251,529683.06,0.02384924970770641,0.15811849719149337,4.42797977624785,3293,0
307,718.4640000000005,125.32106249999947,5.7329867775978745,0.14852249473188497,0.026981205,0.023942675,0.0012842243,0.20892942,0.2076452,0.02018387,0.0005732517,0.1810175937535553,0.08471371103085998,0.0071764128366200485,-284.8763,63.7811,4068.029,-0.00012438207,11.38798,129.6861,59.57725,27.12071,735.53296,6.92558e-05,5.1891885,26.927675,-48.696804,38.648903,1493.7378,-0.00012450056,7.644179,58.43347,7.4051337,24.883213,619.1743,-3.545445e-05,4.4411163,19.723515,-30.683027,20.3288,413.2601,3.8073773e-05,3.8755329,15.019754,-23.667498,15.628353,244.2454,0.000120872006,2.7099786,7.3439837,-26.486774,13.194413,174.09253,0.00029719435,2.408536,5.8010454,-13.585959,12.249748,150.05634,-9.943385e-05,2.1609502,4.6697054,-7.8485923,11.852568,140.48337,5.185599e-05,2.1762292,4.7359734,-17.282036,9.984615,99.692535,9.743681e-05,1.7412477,3.0319436,-11.880396,9.335532,87.15217,6.56436e-05,1.6887721,2.8519511,-4.5676894,9.205057,84.73308,1.5243816e-05,1.6671604,2.779424,-9.022072,8.252087,68.09694,0.0001603271,1.4708494,2.163398,2092.4821331404605,646.2750501916288,417671.4405001923,1600.1741380896206,401.6243775218258,161302.14061979405,3814.068188497857,1215.2738915510822,1476890.6314857116,23.446947414080626,7.86946406898253,61.92846473300707,0.033118833,0.047478873,0.0022542432,297.0170738949234,97.64099609244118,113.87914162255151,1266.2615504095218,1152.3824087869702,270.8517709358815,3.698708642667335,0.5756380598211673,0.8497424662575134,717,1.0020418396066368,0.17437099023709948,0.18216519437772222,1.343999999999994,125.02400000000033,-1.0651695e-05,-4.6098626e-06,3032,3290.747,245791.16,0.012332387398781855,0.13180619116834566,3.5770755389274873,2570,0
310,229.18399999999963,56.66593750000038,4.0444755009219175,0.19823666219972633,0.016954917,0.014708311,0.00026619303,0.10671556,0.106449366,0.014481387,0.00021633442,0.3385951974070861,0.12831280162149658,0.016464175059957536,-317.40762,120.01889,14404.533,-0.022051109,21.441006,459.71674,19.770458,52.461395,2752.198,-0.0021139542,10.209065,104.22502,-29.300625,33.579388,1127.5752,-0.0028928388,6.57116,43.18014,7.0077615,24.974453,623.72327,0.0009524056,4.6976876,22.068268,-18.362991,20.287828,411.596,0.0017279163,3.5856664,12.857004,-7.036272,16.201124,262.47644,0.000731792,3.031884,9.192321,-28.45342,15.974395,255.18129,0.0024517525,2.9234345,8.546469,-7.999333,14.943321,223.30284,0.002166282,2.6492834,7.018702,-20.703474,13.198352,174.19649,0.0015358236,2.316507,5.3662057,1.9772867,12.813232,164.17892,0.001823916,2.3486419,5.516119,-17.31113,10.681854,114.10201,0.00076269195,1.9014864,3.6156507,-1.1297277,8.64615,74.7559,-0.0018889182,1.5860643,2.5156,-13.171581,10.057398,101.15125,0.0018624472,1.7664895,3.1204853,2994.8644417641094,967.7220652704866,936485.9956113759,1795.6529473266326,293.3949214652766,86080.57994161583,5036.92243647151,1198.6245970066957,1436700.9245494634,21.016077156394527,9.174066060571334,84.16348808372683,0.10920545,0.101475455,0.010297268,117.03681767252682,14.715883896133308,89.3477635991859,171.61434972294217,82.26658612375627,115.86971395503193,0.8136629037875733,0.05339751482666545,0.9095681540948386,260,0.8814769196866258,0.2176988416988423,0.19831028016403016,1.1839999999999975,56.38400000000016,-9.6741005e-06,-5.5840605e-06,1327,144.99146,7035.2646,0.016565865055524306,0.1181496293721356,4.620741413013132,1059,0
312,233.40799999999965,80.49193750000038,2.8997686519874106,0.2564254652009938,0.028863817,0.028582532,0.0,0.21029243,0.21029243,0.021151777,0.00081696117,0.2653042076803007,0.14890957929346835,0.02217406280535774,-307.33105,144.24751,20807.344,-0.0385054,21.789963,474.80246,27.802683,59.96759,3596.1118,0.002403109,11.628304,135.21744,-12.1889925,32.28715,1042.4601,-0.0045968564,6.251943,39.086792,9.728614,25.566027,653.6217,-0.00065379555,4.7537456,22.598095,-13.20387,21.44517,459.89526,-0.0019169706,4.0888314,16.718542,-11.037209,21.446188,459.939,-0.00063939515,4.063814,16.514587,-18.645393,16.156197,261.0227,0.0050489474,2.974639,8.848477,-11.722098,16.478447,271.53925,-0.0020882038,3.027826,9.16773,-15.421942,13.738532,188.74725,0.0016844982,2.3780878,5.6553016,-0.58932877,11.784299,138.8697,-0.00088187715,2.1850116,4.7742753,-16.211452,12.425012,154.38092,0.0005866672,2.1696808,4.707515,-3.1433494,10.159416,103.213745,0.0012859193,1.8594712,3.4576333,-15.180363,10.205323,104.14861,0.0002691082,1.702967,2.9000967,2615.155948832105,1261.6055973359275,1591648.6832293428,1709.0900508079583,531.0309825387454,281993.9044160653,4501.7647808358815,1776.5327419595246,3156068.583254227,21.013564708995492,10.133965891600484,102.69726469212199,0.15411012,0.24715553,0.061085857,143.5756771160981,32.67947400449016,84.33305895682803,372.1377785978373,287.8047196410093,136.9994584594705,1.8883484247324756,0.17981651374313795,0.9557185719414167,300,0.7780266640732433,0.26830769230769147,1.1103041670878009,19.104000000000013,80.22399999999975,-7.0675096e-06,-7.18774e-06,1268,486.28555,83362.695,0.016690579478194082,0.1096282411897141,5.085515492185365,1187,0
313,212.5119999999998,55.33293750000021,3.840605718057048,0.2065857134223424,0.03082543,0.027758433,0.0,0.23652305,0.23652305,0.024282241,0.00077053055,0.2973610063761797,0.15408890330067404,0.023743390120404474,-277.99905,107.92124,11646.994,-0.048697095,17.779655,316.11615,22.525663,55.35781,3064.4873,-0.018264681,11.102595,123.26762,-34.36813,35.472454,1258.295,0.011369522,7.097154,50.3696,4.396357,26.112831,681.87994,-0.000688093,4.901795,24.027594,-23.267818,24.037325,577.793,0.00043551187,4.4885488,20.14707,-1.9359987,12.716629,161.71266,0.00051974965,2.3998487,5.759274,-27.231613,15.8347435,250.7391,0.0056750625,2.828626,8.001124,-14.003278,16.72987,279.88852,0.008047041,3.2408953,10.503403,-13.127466,12.612809,159.08296,-0.0024321638,2.3556302,5.548993,-7.6119,13.891953,192.98636,0.0027246887,2.5310836,6.4063845,-8.309675,11.360197,129.05408,0.0037227522,2.0033278,4.013323,-0.7382473,8.915855,79.492485,-0.0013425456,1.6754957,2.807286,-17.451431,10.856569,117.8651,0.0011191423,2.0111568,4.0447516,2782.387431189772,1138.1210613495368,1295319.5502873964,1666.0123928461635,389.29452427171725,151550.22662794267,4625.275318062359,1379.8556385662018,1904001.5832829408,22.700533854363957,9.674893342646874,93.6035611915928,0.106798716,0.17003599,0.028912237,151.26026527133726,89.42363099345481,71.32617550580554,937.7284414330662,866.4022659272607,137.79308824865404,7.856008010531189,0.38681161146973936,0.9184418503336468,246,0.8638699151875199,0.22491428571428543,0.45396288259670525,6.719999999999999,55.10399999999993,-1.0557363e-05,-4.3725145e-06,1072,847.958,138709.98,0.012271641864305256,0.09652886826297621,3.3974552025297426,722,0
315,293.82193749999914,179.13600000000088,1.6402171303355024,0.3787567261200704,0.009254882,0.00944592,0.0,0.17814423,0.17814423,0.007452574,8.9225396e-05,0.21484097492388363,0.14610639194064437,0.021347077765913193,-398.3277,112.97677,12763.75,0.011243878,17.032404,290.10278,52.049744,59.403053,3528.7227,0.009249083,10.51793,110.62685,-19.680761,35.570583,1265.2664,0.0071196747,6.6854277,44.694942,-1.0820066,29.644056,878.7701,0.00052364386,5.434406,29.532764,-10.35464,21.347263,455.70563,-0.0017456536,3.9123292,15.30632,-15.918674,20.157503,406.32495,0.00031548043,3.852314,14.8403225,-11.4310255,17.559322,308.32977,-0.0013144078,2.9899838,8.940003,-7.9366026,14.8034,219.14064,-0.00037750823,2.605223,6.787186,-15.699722,12.818311,164.3091,-0.0022271865,2.2460108,5.0445642,-0.15872288,12.884016,165.99786,-0.001900196,2.3596888,5.5681305,-13.840649,10.724527,115.015495,-0.0015000075,1.8624539,3.4687345,-0.043082066,9.592892,92.02357,-0.00019025106,1.8070321,3.2653651,-15.596232,10.997509,120.94521,-5.4603468e-05,1.9237056,3.7006433,2341.1195356054636,1181.228709190754,1395301.2634164547,1732.2962066928035,506.4608657877627,256502.60857449018,4206.991606055481,1911.0235735248375,3652011.0985676404,21.48900259180677,8.949934642725736,80.10133010906225,0.10629179,0.20435615,0.041761436,160.07790445615126,40.63925220896533,71.32617550580554,821.0690325523904,749.7428570465848,152.01041679645533,11.378009614635147,0.4356562922573981,1.5963364606815589,755,0.3891681286236172,0.2372662251655617,0.5309490060306697,11.872,179.1359999999991,-1.0475959e-05,-4.1543285e-06,1774,301.77646,19695.88,0.011069553733767733,0.08520827146000592,4.546971582065767,1336,0
316,145.98399999999978,59.686000000000206,2.4458666614303626,0.29020275198133033,0.01401073,0.012980739,0.0,0.17787214,0.17787214,0.011196849,0.00016849957,0.3195291078825062,0.1583535333347081,0.025075841519586514,-330.2748,105.051125,11035.738,-0.05690082,17.204128,295.98203,20.158066,54.348263,2953.7336,0.004366416,10.774775,116.09576,-26.05605,34.137234,1165.3508,0.0024373322,6.6423345,44.12061,10.417857,28.088669,788.97327,0.0007844633,5.4789395,30.018776,-20.278603,21.461823,460.6098,-0.00012716923,4.175407,17.434025,-6.678307,14.847348,220.44376,0.005461014,2.7784708,7.7198997,-15.812031,13.565294,184.0172,0.004629693,2.4727683,6.114583,-11.700225,13.6407175,186.06918,-0.00015065384,2.6034386,6.777893,-14.205821,11.104897,123.31873,0.0018306025,1.9199265,3.686118,1.282886,11.808723,139.44595,-0.0026261865,2.2390428,5.0133123,-10.587243,8.735384,76.30694,0.0010124138,1.5711414,2.4684854,-1.1789118,8.110186,65.775116,4.7986377e-06,1.5212381,2.3141654,-10.329865,7.861782,61.807617,0.0010151212,1.4691604,2.1584325,2880.555699578412,1204.3594923016603,1450481.7866971132,1704.3841181406833,432.5639556147289,187111.57569706117,4733.812276369011,1584.3539287698366,2510177.371608416,20.98931990676898,9.12526468977459,83.27045565844696,0.1382577,0.18598615,0.034590848,126.1319293307719,10.591970420222847,99.13755088719131,197.13312122062953,97.99557033343822,124.90548719779652,1.5627942999909772,0.18855009331229775,1.3322312442261877,274,0.5327883192233995,0.21767032967033018,0.44788829033756017,6.943999999999988,59.424000000000134,-9.865272e-06,-4.913901e-06,900,188.62173,7146.8486,0.012899319768475477,0.11236192778230797,4.137439719421312,604,0
